Source,Target,Weight
1_601,S_611,9.92733E-08
1_601,S_612,6.21522E-08
1_601,S_613,2.27601E-09
1_601,S_614,6.19077E-09
1_601,Y_601,3.82227E-09
1_601,Y_602,2.1036E-08
1_601,Y_603,2.63768E-09
1_601,Y_604,2.65795E-08
1_601,Y_605,4.71949E-08
1_601,Y_606,3.61658E-09
1_601,Y_607,7.47883E-09
1_601,Y_608,3.23898E-11
1_601,Y_609,1.72351E-08
1_601,Y_610,2.57856E-08
1_601,Y_611,7.78666E-09
1_601,Y_612,6.17028E-09
1_601,Y_613,5.5608E-08
1_601,Y_614,3.58939E-08
1_601,5_601,2.74782E-08
1_601,5_602,1.27668E-08
1_601,5_603,1.93855E-08
1_601,5_604,1.29644E-09
1_601,5_605,3.48956E-09
1_601,5_606,2.62249E-08
1_601,5_607,9.78751E-09
1_601,5_608,5.06496E-08
1_601,5_609,4.09013E-08
1_601,5_610,1.90714E-08
1_601,5_611,1.95179E-08
1_601,5_612,1.74347E-08
1_601,5_613,2.34755E-09
1_601,5_614,1.62489E-09
1_601,6_601,1.30073E-09
1_601,6_602,1.44994E-09
1_601,6_603,2.13906E-11
1_601,6_604,9.04891E-09
1_601,6_605,1.55384E-10
1_601,6_606,9.32284E-09
1_601,6_607,8.89744E-10
1_601,6_608,4.68316E-09
1_601,6_609,3.55278E-14
1_601,6_610,3.93847E-10
1_601,6_611,5.36035E-12
1_601,6_612,8.31522E-11
1_601,6_613,7.51414E-09
1_601,6_614,8.99759E-09
1_601,7_601,2.93288E-08
1_601,7_602,2.52057E-08
1_601,7_603,1.63515E-08
1_601,7_604,3.22862E-09
1_601,7_605,1.22751E-08
1_601,7_606,3.14521E-09
1_601,7_607,1.13285E-08
1_601,7_608,1.31249E-08
1_601,7_609,2.95136E-08
1_601,7_610,2.51293E-08
1_601,7_611,3.50592E-08
1_601,7_612,2.0183E-08
1_601,7_613,6.51593E-09
1_601,7_614,2.70485E-08
1_601,8_601,6.60796E-09
1_601,8_602,2.28718E-08
1_601,8_603,1.22161E-08
1_601,8_604,3.6645E-08
1_601,8_606,2.47435E-08
1_601,8_607,1.52641E-10
1_601,8_608,4.30191E-10
1_601,8_609,2.56604E-08
1_601,8_610,2.11438E-08
1_601,8_611,9.34781E-09
1_601,8_612,3.1914E-09
1_601,a_405,2.98697E-07
1_601,a_406,1.18873E-06
1_601,a_407,2.84566E-07
1_601,a_410,1.10945E-08
1_601,b_602,7.51061E-08
1_601,b_603,1.73504E-07
1_601,b_604,8.74122E-09
1_601,b_605,2.81314E-07
1_601,b_606,1.98774E-07
1_601,b_607,9.70317E-08
1_601,b_608,1.10146E-07
1_601,b_609,1.20435E-07
1_601,b_610,6.55763E-08
1_601,b_611,5.18235E-09
1_601,b_612,2.98822E-07
1_601,b_613,3.03138E-07
1_601,b_614,2.9097E-07
1_601,b_615,5.07666E-07
1_601,b_616,2.46956E-07
1_601,b_617,1.6358E-08
1_601,c_501,1.66677E-06
1_601,c_502,8.63793E-07
1_601,c_503,1.25331E-09
1_601,c_504,7.7262E-07
1_601,c_505,4.37897E-07
1_601,c_506,3.76464E-06
1_601,c_507,8.09639E-07
1_601,c_508,9.6954E-09
1_601,c_509,1.41131E-06
1_601,c_510,7.90527E-07
1_601,c_511,3.58601E-09
1_601,c_512,7.36352E-08
1_601,c_513,8.23391E-07
1_601,d_402,6.43363E-07
1_601,d_403,7.1329E-08
1_601,g_601,3.30836E-06
1_601,g_602,0.000142271
1_601,g_603,4.25639E-05
1_601,g_604,2.16843E-05
1_601,g_605,7.17675E-06
1_601,g_606,8.23543E-05
1_601,g_607,6.67309E-05
1_601,g_608,0.000135495
1_601,g_609,9.59114E-05
1_601,g_610,0.000353474
1_601,g_611,0.000642946
1_601,g_612,0.0008747
1_601,g_613,0.000185221
1_601,g_614,0.000109189
1_601,n_601,1.02798E-06
1_601,n_602,3.09577E-06
1_601,n_603,7.91229E-08
1_601,n_604,4.29564E-06
1_601,n_605,2.94563E-08
1_601,n_606,4.79975E-06
1_601,n_607,2.43574E-06
1_601,n_608,2.1149E-06
1_601,n_609,3.01015E-07
1_601,n_610,8.95281E-07
1_601,n_611,2.64402E-06
1_601,n_612,3.38955E-07
1_601,n_613,2.43119E-06
1_601,n_614,1.04255E-05
1_601,r_601,6.38383E-08
1_601,r_602,6.17592E-08
1_601,r_603,5.14156E-08
1_601,r_604,6.07909E-08
1_601,r_606,2.85393E-08
1_601,r_607,1.15882E-10
1_601,r_608,1.27241E-09
1_601,r_609,5.202E-08
1_601,r_610,4.60529E-08
1_601,r_611,2.28076E-08
1_601,r_612,1.10266E-08
1_601,r_613,1.12873E-08
1_601,r_614,9.14558E-08
1_601,r_616,1.24341E-07
1_601,s_601,9.11126E-10
1_601,s_602,4.02727E-07
1_601,s_603,1.00035E-07
1_601,s_604,1.76428E-07
1_601,s_606,5.96549E-08
1_601,s_607,3.64476E-07
1_601,s_608,1.82564E-07
1_601,s_609,3.42408E-07
1_601,s_610,5.64291E-07
1_601,s_611,2.47111E-07
1_601,s_612,3.53651E-07
1_601,s_613,6.21647E-07
1_601,s_614,5.29843E-07
1_601,y_601,1.4999E-05
1_601,y_602,2.07997E-05
1_601,y_603,5.85198E-05
1_601,y_604,1.27866E-05
1_601,y_605,5.21781E-07
1_601,y_606,2.04392E-07
1_601,y_607,3.45363E-06
1_601,y_608,5.13053E-05
1_601,y_609,0.000182141
1_601,y_610,3.0264E-05
1_601,y_611,1.08711E-05
1_601,y_612,8.88741E-06
1_601,y_613,9.39735E-07
1_601,y_614,3.19836E-06
1_602,1_601,0.117990452
1_602,1_603,0.813684584
1_602,1_604,0.042998481
1_602,1_605,3.50313E-05
1_602,1_606,0.001541094
1_602,1_607,0.002271096
1_602,1_608,0.001912498
1_602,1_609,0.018017163
1_602,1_610,0.122522792
1_602,1_611,0.040892471
1_602,1_612,0.227561391
1_602,1_613,0.015750617
1_602,1_614,0.001591057
1_602,2_601,3.78022E-06
1_602,2_602,1.7593E-05
1_602,2_603,0.070707545
1_602,2_604,0.000769412
1_602,2_605,2.21718E-05
1_602,2_606,8.4945E-05
1_602,2_607,2.34503E-06
1_602,2_608,2.73899E-06
1_602,2_609,0.005470327
1_602,2_610,0.008576496
1_602,2_611,0.000422296
1_602,2_612,0.000291998
1_602,2_613,0.001377803
1_602,2_614,0.000398077
1_602,3_601,2.04309E-05
1_602,3_602,0.00020529
1_602,3_603,0.022078371
1_602,3_604,0.000982252
1_602,3_605,5.26543E-06
1_602,3_606,5.09067E-05
1_602,3_607,0.000145887
1_602,3_608,6.23447E-05
1_602,3_609,0.000248402
1_602,3_610,0.000857782
1_602,3_611,9.67316E-05
1_602,3_612,0.000192899
1_602,3_613,0.000161942
1_602,3_614,0.005878657
1_602,4_601,1.45007E-06
1_602,4_602,3.57853E-05
1_602,4_603,7.14094E-05
1_602,4_604,1.57146E-05
1_602,4_606,6.96567E-06
1_602,4_607,2.50268E-07
1_602,4_608,1.76006E-05
1_602,4_609,2.70335E-06
1_602,4_610,0.000112473
1_602,4_611,7.58482E-05
1_602,4_612,0.000104298
1_602,A_405,3.62663E-06
1_602,A_406,2.83514E-06
1_602,A_407,5.52171E-06
1_602,A_410,2.82325E-08
1_602,B_602,2.16659E-06
1_602,B_603,3.37591E-05
1_602,B_604,6.64967E-06
1_602,B_605,1.59253E-05
1_602,B_606,1.18058E-05
1_602,B_607,1.59471E-06
1_602,B_608,7.30504E-06
1_602,B_609,1.41725E-05
1_602,B_610,1.20586E-05
1_602,B_611,9.7456E-08
1_602,B_612,7.54237E-06
1_602,B_613,1.50439E-05
1_602,B_614,1.10304E-05
1_602,B_615,6.53223E-06
1_602,B_616,2.57288E-05
1_602,B_617,1.56114E-08
1_602,C_501,2.42065E-10
1_602,C_502,8.30548E-07
1_602,C_503,9.63665E-07
1_602,C_504,2.48831E-07
1_602,C_505,9.39599E-07
1_602,C_506,5.63639E-07
1_602,C_507,6.7505E-08
1_602,C_508,1.06127E-06
1_602,C_509,6.91793E-07
1_602,C_510,5.58692E-07
1_602,C_511,2.91882E-07
1_602,C_512,8.87661E-07
1_602,C_513,2.49021E-08
1_602,D_402,3.8152E-06
1_602,D_403,5.20906E-08
1_602,G_601,2.116E-09
1_602,G_602,1.35962E-10
1_602,G_603,3.3044E-08
1_602,G_604,4.17537E-08
1_602,G_605,9.2691E-12
1_602,G_606,1.70487E-09
1_602,G_607,4.401E-10
1_602,G_608,1.37286E-09
1_602,G_609,6.06924E-10
1_602,G_610,2.599E-09
1_602,G_611,3.7619E-09
1_602,G_612,3.55063E-09
1_602,G_613,8.65224E-08
1_602,G_614,3.64417E-08
1_602,N_601,3.59374E-09
1_602,N_602,1.48416E-07
1_602,N_603,1.6307E-07
1_602,N_604,1.84402E-09
1_602,N_605,2.77589E-09
1_602,N_606,1.98305E-09
1_602,N_607,2.92401E-09
1_602,N_608,6.27201E-09
1_602,N_609,9.55979E-09
1_602,N_610,1.43244E-07
1_602,N_611,1.23419E-07
1_602,N_612,1.20814E-07
1_602,N_613,1.15197E-09
1_602,N_614,2.90699E-08
1_602,R_601,0.000165045
1_602,R_602,0.000140183
1_602,R_603,9.35969E-05
1_602,R_604,9.93731E-05
1_602,R_606,3.06815E-07
1_602,R_607,1.91427E-06
1_602,R_608,2.95694E-06
1_602,R_609,0.000144002
1_602,R_610,0.000914648
1_602,R_611,0.000123041
1_602,R_612,0.000485707
1_602,R_613,0.000470032
1_602,R_614,1.80928E-05
1_602,R_616,5.1467E-05
1_602,S_601,2.35475E-08
1_602,S_602,2.35378E-07
1_602,S_603,3.24552E-07
1_602,S_604,2.49075E-09
1_602,S_606,2.71512E-09
1_602,S_607,2.97563E-09
1_602,S_608,6.5844E-09
1_602,S_609,2.51141E-07
1_602,S_610,2.29527E-07
1_602,S_611,4.32542E-07
1_602,S_612,2.07265E-07
1_602,S_613,2.56078E-08
1_602,S_614,5.73508E-09
1_602,Y_601,3.26114E-10
1_602,Y_602,1.40426E-07
1_602,Y_603,8.17228E-08
1_602,Y_604,1.35167E-07
1_602,Y_605,2.79581E-09
1_602,Y_606,8.85413E-11
1_602,Y_607,7.19998E-10
1_602,Y_608,4.41453E-10
1_602,Y_609,4.01912E-09
1_602,Y_610,2.58657E-07
1_602,Y_611,1.55634E-07
1_602,Y_612,6.69087E-08
1_602,Y_613,1.39188E-07
1_602,Y_614,3.14237E-07
1_602,5_601,1.47342E-09
1_602,5_602,1.96286E-08
1_602,5_603,2.22301E-08
1_602,5_604,4.1453E-08
1_602,5_605,3.81078E-10
1_602,5_606,3.46253E-09
1_602,5_607,1.04993E-09
1_602,5_608,4.0249E-09
1_602,5_609,1.44284E-09
1_602,5_610,1.96498E-08
1_602,5_611,4.30303E-08
1_602,5_612,5.00384E-08
1_602,5_613,1.19328E-08
1_602,5_614,1.08962E-09
1_602,6_601,4.88147E-11
1_602,6_602,2.32049E-08
1_602,6_603,2.59831E-09
1_602,6_604,1.75498E-08
1_602,6_605,2.843E-10
1_602,6_606,1.47062E-10
1_602,6_607,8.29091E-11
1_602,6_608,5.21659E-12
1_602,6_609,2.53538E-10
1_602,6_610,6.57363E-09
1_602,6_611,6.63063E-09
1_602,6_612,9.48837E-09
1_602,6_613,2.73589E-08
1_602,6_614,2.68991E-08
1_602,7_601,3.39766E-09
1_602,7_602,5.93901E-08
1_602,7_603,6.82584E-08
1_602,7_604,3.43295E-09
1_602,7_605,2.05499E-10
1_602,7_606,3.62499E-10
1_602,7_607,5.03073E-10
1_602,7_608,1.21699E-09
1_602,7_609,1.91264E-09
1_602,7_610,7.6557E-08
1_602,7_611,1.22501E-07
1_602,7_612,4.29801E-08
1_602,7_613,3.43657E-11
1_602,7_614,6.12558E-08
1_602,8_601,1.93973E-09
1_602,8_602,1.29112E-07
1_602,8_603,9.52113E-08
1_602,8_604,3.6875E-08
1_602,8_606,1.58784E-11
1_602,8_607,1.04194E-09
1_602,8_608,9.41968E-10
1_602,8_609,4.56745E-09
1_602,8_610,7.99837E-08
1_602,8_611,6.98952E-08
1_602,8_612,5.01107E-08
1_602,a_405,4.86013E-07
1_602,a_406,1.93722E-06
1_602,a_407,5.75555E-07
1_602,a_410,1.94753E-06
1_602,b_602,1.95423E-07
1_602,b_603,2.61461E-07
1_602,b_604,3.19571E-07
1_602,b_605,1.41893E-06
1_602,b_606,4.60991E-07
1_602,b_607,6.19213E-08
1_602,b_608,1.28054E-06
1_602,b_609,7.07871E-08
1_602,b_610,4.67727E-07
1_602,b_611,1.63101E-07
1_602,b_612,2.03785E-07
1_602,b_613,1.5045E-06
1_602,b_614,1.56709E-06
1_602,b_615,9.12998E-07
1_602,b_616,4.35393E-07
1_602,b_617,1.38061E-07
1_602,c_501,3.77573E-06
1_602,c_502,9.63428E-07
1_602,c_503,1.1031E-06
1_602,c_504,1.26209E-06
1_602,c_505,5.20264E-07
1_602,c_506,1.68129E-06
1_602,c_507,5.34139E-06
1_602,c_508,5.1292E-07
1_602,c_509,9.9518E-07
1_602,c_510,1.04956E-06
1_602,c_511,1.06142E-08
1_602,c_512,9.9655E-07
1_602,c_513,1.5886E-06
1_602,d_402,8.19712E-07
1_602,d_403,1.27061E-07
1_602,g_601,3.09438E-05
1_602,g_602,3.92595E-05
1_602,g_603,6.59931E-05
1_602,g_604,5.9857E-05
1_602,g_605,3.47522E-06
1_602,g_606,4.03879E-07
1_602,g_607,8.01424E-09
1_602,g_608,2.37989E-07
1_602,g_609,9.96221E-09
1_602,g_610,7.18481E-05
1_602,g_611,0.00203559
1_602,g_612,4.18962E-05
1_602,g_613,6.57995E-05
1_602,g_614,0.000531062
1_602,n_601,1.99504E-06
1_602,n_602,3.64377E-05
1_602,n_603,1.66769E-05
1_602,n_604,2.55877E-08
1_602,n_605,8.85985E-08
1_602,n_606,3.06809E-08
1_602,n_607,2.29133E-07
1_602,n_608,1.67567E-07
1_602,n_609,4.96602E-07
1_602,n_610,8.36916E-06
1_602,n_611,1.86522E-05
1_602,n_612,1.32755E-05
1_602,n_613,1.45461E-06
1_602,n_614,1.05521E-07
1_602,r_601,2.26533E-07
1_602,r_602,3.01816E-07
1_602,r_603,2.60031E-07
1_602,r_604,8.96656E-08
1_602,r_606,1.87674E-12
1_602,r_607,2.15616E-09
1_602,r_608,3.39004E-09
1_602,r_609,3.73413E-07
1_602,r_610,1.89663E-07
1_602,r_611,1.54442E-07
1_602,r_612,1.2123E-07
1_602,r_613,2.82909E-08
1_602,r_614,3.97697E-09
1_602,r_616,4.72028E-07
1_602,s_601,4.1182E-08
1_602,s_602,8.61878E-07
1_602,s_603,1.15021E-06
1_602,s_604,3.09241E-08
1_602,s_606,1.0647E-08
1_602,s_607,4.11123E-09
1_602,s_608,5.96062E-08
1_602,s_609,1.12811E-06
1_602,s_610,2.31518E-06
1_602,s_611,2.63465E-06
1_602,s_612,1.44359E-06
1_602,s_613,4.49194E-10
1_602,s_614,1.18875E-06
1_602,y_601,2.73461E-07
1_602,y_602,1.39416E-06
1_602,y_603,1.34765E-05
1_602,y_604,5.60292E-06
1_602,y_605,8.80266E-07
1_602,y_606,4.6571E-06
1_602,y_607,1.57223E-06
1_602,y_608,9.36959E-06
1_602,y_609,3.51645E-06
1_602,y_610,2.41307E-05
1_602,y_611,9.57053E-06
1_602,y_612,2.73738E-05
1_602,y_613,7.19612E-06
1_602,y_614,9.74022E-07
1_603,1_601,0.001629017
1_603,1_602,0.813684584
1_603,1_604,0.002335183
1_603,1_605,6.10739E-05
1_603,1_606,0.003036875
1_603,1_607,0.000404191
1_603,1_608,0.001641921
1_603,1_609,0.371477238
1_603,1_610,0.163923485
1_603,1_611,0.006981798
1_603,1_612,0.000204727
1_603,1_613,0.006407073
1_603,1_614,0.039185411
1_603,2_601,8.60677E-05
1_603,2_602,0.022680139
1_603,2_603,0.043437633
1_603,2_604,0.006609651
1_603,2_605,3.70919E-06
1_603,2_606,0.000345271
1_603,2_607,0.000356221
1_603,2_608,7.05798E-06
1_603,2_609,8.24089E-06
1_603,2_610,0.000759014
1_603,2_611,0.001409119
1_603,2_612,0.001979734
1_603,2_613,9.12858E-05
1_603,2_614,0.000523051
1_603,3_601,0.000111968
1_603,3_602,0.085269188
1_603,3_603,0.044748614
1_603,3_604,0.000191384
1_603,3_605,1.2032E-05
1_603,3_606,1.12121E-05
1_603,3_607,5.11823E-05
1_603,3_608,8.95861E-05
1_603,3_609,0.000272038
1_603,3_610,0.004451668
1_603,3_611,7.58873E-05
1_603,3_612,0.004422023
1_603,3_613,0.018901465
1_603,3_614,0.016940697
1_603,4_601,2.2565E-06
1_603,4_602,5.7806E-05
1_603,4_603,0.000177087
1_603,4_604,3.92999E-05
1_603,4_606,3.31604E-06
1_603,4_607,1.71436E-07
1_603,4_608,4.23873E-05
1_603,4_609,7.50214E-06
1_603,4_610,0.000407108
1_603,4_611,0.00010315
1_603,4_612,8.91949E-05
1_603,A_405,5.17833E-06
1_603,A_406,1.9088E-06
1_603,A_407,8.02826E-06
1_603,A_410,3.19739E-07
1_603,B_602,5.33991E-06
1_603,B_603,2.1157E-05
1_603,B_604,1.80111E-05
1_603,B_605,1.83693E-05
1_603,B_606,1.53768E-05
1_603,B_607,6.39829E-07
1_603,B_608,1.0144E-05
1_603,B_609,2.81633E-05
1_603,B_610,4.24511E-05
1_603,B_611,6.83791E-07
1_603,B_612,9.35589E-06
1_603,B_613,2.59569E-05
1_603,B_614,1.19489E-05
1_603,B_615,5.91139E-06
1_603,B_616,3.93083E-05
1_603,B_617,6.59004E-06
1_603,C_501,4.79961E-08
1_603,C_502,9.46887E-07
1_603,C_503,8.95922E-07
1_603,C_504,8.02E-08
1_603,C_505,7.8732E-07
1_603,C_506,4.93502E-07
1_603,C_507,5.86161E-08
1_603,C_508,2.04225E-06
1_603,C_509,7.31848E-07
1_603,C_510,7.92768E-07
1_603,C_511,1.19987E-06
1_603,C_512,1.14811E-06
1_603,C_513,1.71658E-08
1_603,D_402,2.08105E-06
1_603,D_403,4.65238E-06
1_603,G_601,3.02949E-09
1_603,G_602,7.91428E-09
1_603,G_603,2.44196E-08
1_603,G_604,7.95963E-08
1_603,G_605,3.1358E-10
1_603,G_606,3.35613E-09
1_603,G_607,2.06057E-09
1_603,G_608,2.81509E-09
1_603,G_609,1.18456E-09
1_603,G_610,1.61165E-09
1_603,G_611,1.16631E-08
1_603,G_612,2.94481E-08
1_603,G_613,2.92681E-08
1_603,G_614,6.56216E-08
1_603,N_601,4.02269E-09
1_603,N_602,1.39234E-07
1_603,N_603,2.51521E-07
1_603,N_604,4.10559E-08
1_603,N_605,2.53033E-10
1_603,N_606,1.41489E-10
1_603,N_607,4.33396E-10
1_603,N_608,4.21337E-09
1_603,N_609,1.02991E-08
1_603,N_610,2.30037E-07
1_603,N_611,1.37881E-07
1_603,N_612,7.34589E-08
1_603,N_613,2.08166E-09
1_603,N_614,6.57923E-08
1_603,R_601,0.000503313
1_603,R_602,0.000485767
1_603,R_603,0.000142028
1_603,R_604,1.55051E-09
1_603,R_606,4.7028E-06
1_603,R_607,8.86988E-06
1_603,R_608,1.02556E-05
1_603,R_609,0.000339084
1_603,R_610,0.002285971
1_603,R_611,0.000554516
1_603,R_612,0.003467457
1_603,R_613,0.001663329
1_603,R_614,1.73859E-05
1_603,R_616,0.00016404
1_603,S_601,2.51269E-08
1_603,S_602,4.30876E-07
1_603,S_603,2.55881E-07
1_603,S_604,2.39563E-08
1_603,S_606,5.39616E-09
1_603,S_607,7.32081E-09
1_603,S_608,9.17555E-09
1_603,S_609,2.81692E-07
1_603,S_610,2.1279E-07
1_603,S_611,5.52159E-07
1_603,S_612,4.10527E-07
1_603,S_613,8.51665E-09
1_603,S_614,3.33082E-10
1_603,Y_601,1.71549E-11
1_603,Y_602,2.09463E-07
1_603,Y_603,3.47013E-08
1_603,Y_604,4.82745E-08
1_603,Y_605,7.78686E-09
1_603,Y_606,1.53379E-10
1_603,Y_607,2.98625E-09
1_603,Y_608,9.3116E-10
1_603,Y_609,4.0523E-09
1_603,Y_610,1.90026E-07
1_603,Y_611,1.35644E-07
1_603,Y_612,1.49685E-07
1_603,Y_613,3.12004E-07
1_603,Y_614,1.57231E-07
1_603,5_601,2.23919E-09
1_603,5_602,2.22594E-08
1_603,5_603,6.1412E-08
1_603,5_604,7.09271E-09
1_603,5_605,5.60231E-11
1_603,5_606,1.73523E-09
1_603,5_607,1.4983E-10
1_603,5_608,3.7797E-09
1_603,5_609,2.27432E-09
1_603,5_610,6.20462E-08
1_603,5_611,5.9621E-08
1_603,5_612,4.0452E-08
1_603,5_613,3.07089E-08
1_603,5_614,1.57199E-09
1_603,6_601,5.68421E-12
1_603,6_602,1.14008E-08
1_603,6_603,5.1544E-09
1_603,6_604,3.86564E-08
1_603,6_605,2.33513E-12
1_603,6_606,7.42798E-10
1_603,6_607,9.29305E-11
1_603,6_608,1.96737E-10
1_603,6_609,1.16873E-10
1_603,6_610,9.5548E-09
1_603,6_611,3.10586E-09
1_603,6_612,9.4611E-10
1_603,6_613,1.16941E-08
1_603,6_614,4.20277E-08
1_603,7_601,3.81666E-09
1_603,7_602,1.09419E-07
1_603,7_603,5.31992E-08
1_603,7_604,1.99428E-11
1_603,7_605,1.18802E-09
1_603,7_606,9.78276E-10
1_603,7_607,1.66119E-09
1_603,7_608,1.87217E-09
1_603,7_609,2.46768E-09
1_603,7_610,7.31465E-08
1_603,7_611,1.47045E-07
1_603,7_612,1.08582E-07
1_603,7_613,1.66865E-08
1_603,7_614,4.16012E-08
1_603,8_601,1.86558E-09
1_603,8_602,8.42036E-08
1_603,8_603,1.18373E-07
1_603,8_604,1.05631E-07
1_603,8_606,1.01976E-09
1_603,8_607,1.66026E-11
1_603,8_608,1.81456E-10
1_603,8_609,4.10116E-09
1_603,8_610,1.22623E-07
1_603,8_611,5.24105E-08
1_603,8_612,1.32314E-08
1_603,a_405,4.42873E-08
1_603,a_406,2.96685E-06
1_603,a_407,2.14349E-07
1_603,a_410,1.67122E-07
1_603,b_602,4.63435E-07
1_603,b_603,5.13077E-07
1_603,b_604,1.16436E-07
1_603,b_605,1.34634E-06
1_603,b_606,3.86994E-07
1_603,b_607,2.18546E-07
1_603,b_608,6.68907E-07
1_603,b_609,6.70478E-08
1_603,b_610,2.38063E-07
1_603,b_611,2.96353E-07
1_603,b_612,6.73085E-07
1_603,b_613,1.65595E-06
1_603,b_614,1.98773E-06
1_603,b_615,2.48571E-06
1_603,b_616,8.50149E-07
1_603,b_617,6.79986E-12
1_603,c_501,4.43766E-06
1_603,c_502,3.48454E-07
1_603,c_503,7.59182E-07
1_603,c_504,1.20405E-06
1_603,c_505,8.10517E-09
1_603,c_506,3.5419E-06
1_603,c_507,3.84497E-06
1_603,c_508,9.28898E-07
1_603,c_509,1.67353E-06
1_603,c_510,6.27067E-07
1_603,c_511,4.77554E-07
1_603,c_512,7.57374E-07
1_603,c_513,1.27401E-06
1_603,d_402,1.54432E-06
1_603,d_403,5.2715E-07
1_603,g_601,2.4325E-05
1_603,g_602,0.000132138
1_603,g_603,5.98596E-06
1_603,g_604,0.00024401
1_603,g_605,4.56398E-07
1_603,g_606,1.5484E-06
1_603,g_607,4.74687E-07
1_603,g_608,1.25872E-06
1_603,g_609,8.78347E-08
1_603,g_610,3.28831E-05
1_603,g_611,0.000976073
1_603,g_612,0.000261488
1_603,g_613,4.67536E-05
1_603,g_614,0.000353228
1_603,n_601,9.09907E-07
1_603,n_602,1.13598E-05
